volt, time
0.566, 1468260569.128509
0.566, 1468260569.130889
0.535, 1468260569.133209
0.535, 1468260569.136474
0.554, 1468260569.138854
0.576, 1468260569.141174
0.574, 1468260569.144744
0.584, 1468260569.148803
0.576, 1468260569.150512
0.559, 1468260569.152099
0.540, 1468260569.153625
0.542, 1468260569.155456
0.537, 1468260569.157043
0.535, 1468260569.158569
0.525, 1468260569.160125
0.525, 1468260569.161651
0.535, 1468260569.163146
0.525, 1468260569.165649
0.562, 1468260569.168609
0.554, 1468260569.172454
0.557, 1468260569.176269
0.579, 1468260569.178771
0.542, 1468260569.180541
0.535, 1468260569.182861
0.569, 1468260569.187042
0.579, 1468260569.190032
0.574, 1468260569.191711
0.554, 1468260569.193298
0.549, 1468260569.195129
0.547, 1468260569.196716
0.542, 1468260569.198303
0.542, 1468260569.199829
0.527, 1468260569.201324
0.525, 1468260569.202850
0.522, 1468260569.204437
0.540, 1468260569.208282
0.562, 1468260569.210601
0.579, 1468260569.212921
0.547, 1468260569.216156
0.549, 1468260569.218475
0.537, 1468260569.220794
0.537, 1468260569.224395
0.588, 1468260569.228088
0.584, 1468260569.229797
0.564, 1468260569.231384
0.544, 1468260569.232910
0.542, 1468260569.234466
0.542, 1468260569.236236
0.537, 1468260569.237792
0.525, 1468260569.239349
0.540, 1468260569.240844
0.530, 1468260569.242370
0.535, 1468260569.243865
0.530, 1468260569.247375
0.574, 1468260569.249816
0.537, 1468260569.251586
0.527, 1468260569.253845
0.525, 1468260569.257141
0.544, 1468260569.259490
0.542, 1468260569.261810
0.537, 1468260569.265686
0.581, 1468260569.269104
0.566, 1468260569.270843
0.559, 1468260569.272430
0.554, 1468260569.273956
0.537, 1468260569.275756
0.544, 1468260569.277313
0.542, 1468260569.278991
0.542, 1468260569.280578
0.537, 1468260569.282135
0.530, 1468260569.283660
0.549, 1468260569.288085
0.540, 1468260569.290527
0.576, 1468260569.292907
0.537, 1468260569.297607
0.586, 1468260569.300048
0.579, 1468260569.302429
0.544, 1468260569.306274
